LabVIEW					
Separator	Tab				
Decimal_Separator	.				
Date	17/02/2021				
					
Location		1/4L	1/2L	3/4L	
Time	Load (Mean)	WG 16 (Mean)	WG 4 (Mean)	WG 2 (Mean)	Comment
sec	kN	mm	V	mm	
183.120096	12.842755	384.453761	6.084931281	391.435455	
184.171766	12.934181	384.451535	6.084839239	391.435538	
185.225762	13.040254	384.451485	6.08483632	391.433938	
186.278924	13.15289	384.448214	6.084576262	391.431193	
187.328179	13.277159	384.448084	6.084635479	391.431816	
188.380391	13.416817	384.444006	6.084695807	391.429493	
189.430533	13.559927	384.439933	6.084787256	391.426828	
190.480173	13.683281	384.440149	6.084961774	391.428093	
191.533638	13.796078	384.440505	6.084921196	391.426272	
192.586061	13.869696	384.433106	6.084745878	391.422227	
193.637186	13.931391	384.430428	6.084703074	391.421941	
194.690093	13.981554	384.432295	6.084725051	391.42275	
195.74024	14.025068	384.429705	6.084543194	391.420048	
196.790154	14.061615	384.430681	6.084576957	391.42185	
197.840106	14.103226	384.432082	6.084635757	391.421133	
198.891405	14.147853	384.429969	6.084497539	391.420654	
199.943663	14.179543	384.426557	6.084506441	391.419177	
200.99666	14.23916	384.426935	6.084465202	391.419433	
202.049227	14.316608	384.426395	6.084368746	391.416872	
203.10069	14.382788	384.425967	6.084475217	391.418599	
204.152848	14.459388	384.42102	6.084355289	391.415742	
205.20527	14.54681	384.423859	6.084256397	391.418225	
206.257312	14.643998	384.415509	6.084144085	391.415665	
207.309858	14.796087	384.415245	6.084169365	391.418077	
208.360754	14.936028	384.412228	6.084204067	391.417905	
209.411557	15.115847	384.410955	6.08412131	391.414373	
210.463637	15.320382	384.40308	6.083917758	391.408435	
211.515091	15.523836	384.401899	6.083986501	391.404501	
212.567066	15.738908	384.395118	6.083878187	391.400892	
213.61746	15.907228	384.394759	6.083864487	391.400393	
214.670192	16.023916	384.388131	6.083635863	391.395904	
215.722047	16.090451	384.386853	6.083718134	391.395435	
216.773408	16.104495	384.386121	6.08376883	391.394533	
217.823343	16.024663	384.381783	6.083659683	391.393642	
218.874223	15.869385	384.386537	6.083552377	391.392969	
219.925241	15.793381	384.384588	6.083526473	391.392753	
220.975726	15.840391	384.386848	6.083651128	391.393965	
222.027164	15.943228	384.386349	6.083670218	391.394138	
223.077979	16.053825	384.38372	6.08374522	391.392869	
224.128124	16.074062	384.385834	6.083788962	391.394303	
225.179654	16.127052	384.382293	6.08371177	391.392529	
226.229785	16.207374	384.383371	6.08367599	391.393706	
227.282318	16.310802	384.380853	6.083623554	391.391829	
228.335947	16.450537	384.38008	6.083571953	391.390594	
229.387098	16.623967	384.37878	6.083716743	391.388101	
230.440498	16.808516	384.373316	6.083656379	391.385628	
231.496057	16.997931	384.373077	6.083862193	391.384909	
232.545774	17.242838	384.366052	6.083693515	391.38002	
233.596827	17.454718	384.363312	6.083602795	391.377013	
234.647101	17.651212	384.359952	6.083514094	391.37272	
235.698379	17.784471	384.363209	6.083621885	391.372138	
236.750413	17.878153	384.357042	6.083530297	391.3696	
237.801584	17.914988	384.354355	6.083332619	391.364112	
238.853477	17.875262	384.353081	6.083378587	391.364475	
239.907565	17.705917	384.347669	6.083340999	391.364512	
240.959111	17.604499	384.35517	6.083393888	391.368677	
242.010632	17.550848	384.354062	6.083323022	391.366907	
243.060995	17.686029	384.349566	6.083291973	391.363597	
244.111647	17.789101	384.349873	6.083308801	391.363699	
245.164931	17.841547	384.353053	6.083457137	391.365431	
246.21795	17.878633	384.352764	6.083483113	391.364532	
247.271552	17.93769	384.352533	6.083497508	391.366385	
248.325785	17.999244	384.353031	6.08353033	391.365112	
249.377699	18.09429	384.350522	6.083594136	391.363136	
250.427723	18.219572	384.345561	6.083532766	391.360911	
251.475265	18.36386	384.344512	6.083404109	391.358719	
252.526583	18.532798	384.343905	6.083544728	391.358222	
253.580023	18.807242	384.338298	6.083597754	391.354329	
254.631777	19.109308	384.333321	6.083557244	391.350221	
255.685237	19.365719	384.326981	6.083583288	391.346568	
256.736361	19.589828	384.327667	6.083700296	391.345129	
257.789495	19.739842	384.323599	6.083645912	391.341485	
258.84069	19.802671	384.320694	6.083818066	391.342016	
259.892505	19.829383	384.32208	6.08384505	391.340461	
260.942123	19.685993	384.317011	6.083759721	391.337165	
261.992139	19.491032	384.317779	6.083571918	391.338293	
263.043068	19.349406	384.318021	6.083431405	391.337367	
264.092693	19.360754	384.320576	6.083551889	391.340129	
265.142235	19.490138	384.321944	6.083634717	391.33885	
266.191565	19.656812	384.322656	6.083771855	391.339058	
267.242176	19.720047	384.31931	6.083756939	391.337338	
268.293009	19.739026	384.320337	6.083799533	391.338185	
269.346169	19.790761	384.319136	6.083834341	391.337893	
270.399161	19.887503	384.319512	6.083782914	391.337558	
271.451089	20.019918	384.317635	6.083798943	391.335333	
272.50282	20.171578	384.31803	6.08385555	391.335211	
273.554291	20.35799	384.31221	6.083774081	391.332276	
274.603531	20.554629	384.309758	6.083822831	391.330932	
275.65476	20.750079	384.308399	6.083734128	391.328399	
276.704735	20.94168	384.306408	6.083786076	391.327206	
277.755377	21.115925	384.300279	6.083777905	391.324609	
278.806432	21.236713	384.29789	6.083736667	391.32207	
279.856952	21.344684	384.295715	6.083850474	391.320758	
280.908326	21.402982	384.295831	6.083923495	391.322482	
281.961681	21.450209	384.293147	6.083804923	391.320197	
283.012396	21.449157	384.29223	6.083836913	391.318576	
284.06458	21.440195	384.288913	6.083838861	391.318083	
285.116135	21.431952	384.286132	6.083763439	391.316671	
286.166283	21.417793	384.286307	6.083710136	391.315168	
287.21681	21.428744	384.284152	6.083642331	391.313428	
288.268132	21.425165	384.290495	6.083807705	391.316643	
289.31972	21.45435	384.290954	6.083789136	391.3166	
290.370692	21.496101	384.290166	6.083847588	391.316558	
291.422256	21.576913	384.289501	6.083811216	391.316753	
292.475084	21.683056	384.28726	6.083729365	391.314034	
293.525298	21.830924	384.284775	6.083799047	391.314211	
294.576745	22.014165	384.28191	6.083715976	391.311649	
295.630385	22.263777	384.279037	6.083709266	391.310118	
296.679102	22.560521	384.272992	6.083521778	391.307131	
297.729447	22.847112	384.271364	6.083364887	391.303777	
298.7822	23.092022	384.266579	6.083252819	391.301328	
299.833483	23.286439	384.268771	6.083343746	391.302606	
300.884922	23.402118	384.265049	6.083270588	391.299489	
301.934129	23.428085	384.265426	6.083420488	391.299648	
302.983339	23.393473	384.267045	6.083302715	391.299457	
304.034738	23.188152	384.268283	6.083212727	391.300441	
305.083335	23.004707	384.267859	6.083061262	391.299152	
306.134658	22.891997	384.261799	6.082952461	391.296967	
307.185473	22.927945	384.263773	6.083052431	391.296997	
308.235527	23.113517	384.267537	6.083144158	391.298406	
309.286466	23.240116	384.26247	6.083160326	391.296	
310.337194	23.305453	384.264806	6.083253585	391.297963	
311.38823	23.347758	384.265245	6.083270657	391.297515	
312.440394	23.431736	384.257303	6.083261616	391.296154	
313.49263	23.536439	384.264259	6.08305789	391.296075	
314.54624	23.68584	384.261741	6.083185745	391.297099	
315.598664	23.851008	384.256542	6.083208416	391.294496	
316.648734	24.019173	384.259756	6.083050274	391.293788	
317.700295	24.21604	384.252143	6.083085742	391.288634	
318.749765	24.383461	384.252543	6.083108168	391.287962	
319.803104	24.550337	384.250537	6.0831605	391.285744	
320.855094	24.656664	384.247758	6.083253585	391.283867	
321.907885	24.768107	384.243532	6.083203757	391.282263	
322.958497	24.845446	384.239686	6.08322142	391.28078	
324.009418	24.910527	384.241562	6.083160465	391.279522	
325.061406	24.962636	384.238534	6.083189987	391.274045	
326.113702	24.99719	384.233374	6.083079448	391.272365	
327.163985	25.032294	384.234878	6.083094608	391.273016	
328.215034	25.057761	384.233442	6.082957677	391.272893	
329.26533	25.075497	384.235774	6.083032471	391.277097	
330.31438	25.11734	384.230566	6.083012164	391.275306	
331.364685	25.175231	384.229509	6.083041061	391.273705	
332.416442	25.222153	384.232189	6.083170618	391.273591	
333.469459	25.291885	384.232156	6.083045753	391.273212	
334.522995	25.378333	384.228637	6.083116063	391.271097	
335.579095	25.482234	384.228184	6.083048885	391.269489	
336.629112	25.588967	384.226297	6.08315598	391.268992	
337.678977	25.73839	384.219936	6.083184806	391.261649	
338.730911	25.887397	384.218574	6.083220621	391.262978	
339.781338	26.051825	384.214116	6.083344965	391.258026	
340.835736	26.253676	384.213501	6.083396635	391.257731	
341.888819	26.425261	384.209396	6.083429389	391.250393	
342.940456	26.535813	384.205539	6.083487944	391.247827	
343.993844	26.653024	384.196465	6.083380952	391.243545	
345.043808	26.750918	384.1956	6.08346875	391.244066	
346.093402	26.817961	384.191402	6.083401954	391.241104	
347.143692	26.85678	384.188941	6.083486798	391.23907	
348.194375	26.88685	384.185355	6.0833555	391.237486	
349.245276	26.904499	384.185269	6.083343817	391.235446	
350.295738	26.912337	384.190641	6.083441419	391.237195	
351.346017	26.910177	384.18649	6.083484886	391.235659	
352.400346	26.886741	384.182148	6.083364923	391.232815	
353.454883	26.924949	384.185426	6.08352814	391.234861	
354.50763	26.996682	384.183523	6.083521847	391.233363	
355.556927	27.125769	384.180085	6.083465447	391.230619	
356.610343	27.28915	384.177115	6.083551021	391.228176	
357.660088	27.447781	384.178929	6.083748141	391.227269	
358.710184	27.602736	384.180262	6.083752697	391.224813	
359.761307	27.745931	384.180008	6.083774776	391.22163	
360.814893	27.852552	384.172754	6.083743272	391.217539	
361.867477	27.981313	384.175212	6.083860662	391.215117	
362.918937	28.076166	384.166369	6.08381539	391.211353	
363.969983	28.169962	384.171046	6.083794006	391.210746	
365.021698	28.252473	384.168041	6.083821997	391.208212	
366.073782	28.305183	384.168357	6.083755687	391.206055	
367.125049	28.352815	384.161064	6.083665559	391.203162	
368.175968	28.397461	384.159216	6.083728356	391.201831	
369.227152	28.433008	384.156367	6.083566876	391.200047	
370.279166	28.491281	384.154278	6.083550604	391.199249	
371.329632	28.538967	384.153762	6.083655613	391.197334	
372.381715	28.596028	384.148601	6.08343551	391.193411	
373.431828	28.655429	384.152234	6.083575848	391.194661	
374.479968	28.740556	384.146762	6.083575917	391.192847	
375.532259	28.80097	384.14955	6.083560929	391.192614	
376.5825	28.888038	384.147676	6.083535895	391.190455	
377.634873	28.97658	384.142826	6.083587461	391.187249	
378.688968	29.095204	384.145815	6.083531722	391.186576	
379.740087	29.198678	384.150213	6.08342925	391.184806	
380.791948	29.322668	384.140162	6.083457451	391.178763	
381.843321	29.437336	384.139341	6.083540797	391.176085	
382.896352	29.556086	384.139012	6.08347063	391.174521	
383.947033	29.676506	384.140334	6.083408665	391.173537	
384.9992	29.796302	384.14138	6.083570076	391.17273	
386.051775	29.890131	384.134133	6.083452999	391.16723	
387.102479	29.99952	384.131215	6.083382343	391.163865	
388.152185	30.111379	384.131075	6.083282444	391.161441	
389.203312	30.189805	384.131153	6.083380535	391.161175	
390.251804	30.270994	384.12869	6.083336757	391.157803	
391.302726	30.368962	384.129148	6.083264363	391.156783	
392.354364	30.458709	384.12608	6.083162066	391.152776	
393.405997	30.520566	384.125059	6.083145966	391.152004	
394.45587	30.579226	384.12296	6.083153651	391.150792	
395.505917	30.661543	384.119173	6.08308303	391.148919	
396.557417	30.713189	384.118074	6.082995857	391.147248	
397.607581	30.772966	384.115387	6.08296804	391.147012	
398.660902	30.833037	384.116089	6.082995371	391.144764	
399.713687	30.895933	384.115729	6.083073745	391.144883	
400.765708	30.965645	384.113418	6.082970959	391.142771	
401.816205	31.047627	384.110565	6.083048988	391.140407	
402.866875	31.13311	384.109373	6.083007331	391.138363	
403.917896	31.232809	384.104744	6.083092695	391.137713	
404.968845	31.36666	384.10165	6.08319176	391.137006	
406.01918	31.542654	384.102248	6.083162866	391.132194	
407.069427	31.737888	384.104608	6.083058411	391.124276	
408.120447	31.903843	384.093737	6.083291345	391.119747	
409.173272	32.058	384.093481	6.083103198	391.115751	
410.22509	32.199733	384.088971	6.08299551	391.112355	
411.279215	32.288612	384.088781	6.08306926	391.10909	
412.330514	32.371756	384.082941	6.083048397	391.105614	
413.383459	32.43427	384.084137	6.083127779	391.105969	
414.436166	32.452329	384.083677	6.083110604	391.10607	
415.49187	32.492019	384.08329	6.083104865	391.105678	
416.542945	32.48131	384.082875	6.083086473	391.10451	
417.596545	32.490436	384.07809	6.083037651	391.100492	
418.647138	32.50244	384.078677	6.083085638	391.102181	
419.700678	32.522087	384.073504	6.082934138	391.099867	
420.751005	32.552171	384.077285	6.083012652	391.100387	
421.802768	32.584993	384.075333	6.083000516	391.100219	
422.854656	32.654522	384.072023	6.082920645	391.09873	
423.905967	32.738429	384.071106	6.082896618	391.097944	
424.960176	32.835803	384.069045	6.082857606	391.097527	
426.014489	32.951221	384.069049	6.082869497	391.095355	
427.066967	33.114242	384.067453	6.082959103	391.094539	
428.118251	33.283074	384.069429	6.083030908	391.095752	
429.169505	33.49628	384.062213	6.082957783	391.090161	
430.221772	33.676237	384.061762	6.083010427	391.088859	
431.274771	33.90017	384.056938	6.082875686	391.08355	
432.325935	34.097733	384.053309	6.083103059	391.082297	
433.377094	34.242412	384.04385	6.082991476	391.078499	
434.428078	34.365597	384.042573	6.083072945	391.075986	
435.478478	34.444556	384.042102	6.083215752	391.078122	
436.557959	34.486499	384.038253	6.083044572	391.074512	
437.611227	34.482866	384.036928	6.08306088	391.074757	
438.661517	34.39116	384.036868	6.083062584	391.075282	
439.711088	34.28399	384.034729	6.082996656	391.074062	
440.761405	34.220685	384.033185	6.083064497	391.074511	
441.815474	34.238892	384.031757	6.083065225	391.074183	
442.866496	34.269174	384.036694	6.083060149	391.07472	
443.918713	34.324655	384.035961	6.083079206	391.073909	
444.970202	34.369044	384.035393	6.083036505	391.072844	
446.020791	34.458414	384.029464	6.083001315	391.070832	
447.077112	34.586213	384.032452	6.083074129	391.071807	
448.125444	34.75024	384.029834	6.083025482	391.071196	
449.176943	34.940567	384.027664	6.082821963	391.065793	
450.228366	35.135931	384.020789	6.082886639	391.063332	
451.279106	35.379188	384.018898	6.083040156	391.061485	
452.328218	35.616435	384.019613	6.083243432	391.061365	
453.380697	35.810678	384.016266	6.083228167	391.060875	
454.4301	35.998367	384.013376	6.083077501	391.056339	
455.479109	36.131587	384.005441	6.083017034	391.05095	
456.529245	36.226085	384.005921	6.083091828	391.051795	
457.583364	36.277673	384.009776	6.082984973	391.049872	
458.634897	36.301126	384.002629	6.082843835	391.046417	
459.68743	36.256155	384.002801	6.082980174	391.048698	
460.737582	36.188239	384.003025	6.082745431	391.044506	
461.791567	36.102145	383.998403	6.082834307	391.045074	
462.840892	36.065058	383.998824	6.082726551	391.043729	
463.890926	36.040446	384.001064	6.082784931	391.045798	
464.942098	36.067165	383.999344	6.082671924	391.043841	
465.992307	36.122062	384.001692	6.082824677	391.044334	
467.041004	36.174449	384.000732	6.082766155	391.045229	
468.092437	36.259434	383.998065	6.082670047	391.044157	
469.14169	36.398816	383.997082	6.082794946	391.043587	
470.191261	36.620564	383.987832	6.082667404	391.039458	
471.241475	36.860211	383.98899	6.082657425	391.037591	
472.293239	37.111453	383.989921	6.082627208	391.034434	
473.343664	37.448582	383.981454	6.082544451	391.024114	
474.397892	37.726408	383.974038	6.082599113	391.018093	
475.451872	37.952968	383.974945	6.08261789	391.013816	
476.503042	38.09419	383.973899	6.082708609	391.011628	
477.555525	38.163261	383.965476	6.082619453	391.004811	
478.607832	38.151938	383.963894	6.082538714	391.003357	
479.658846	37.891344	383.964895	6.082355606	391.001578	
480.710646	37.560441	383.963058	6.082212139	391.002658	
481.762305	37.422926	383.969792	6.082116239	391.005759	
482.814408	37.398288	383.969256	6.082098365	391.003516	
483.866311	37.602505	383.964575	6.082320626	391.003223	
484.918335	37.787757	383.967712	6.082307239	391.002123	
485.970835	37.920017	383.962011	6.082480124	391.001575	
487.022201	37.953543	383.966531	6.082392326	391.001682	
488.074116	38.04763	383.962627	6.082344481	391.000315	
489.126143	38.188355	383.964561	6.08239935	391.001749	
490.17657	38.366388	383.959833	6.082482593	390.998883	
491.227482	38.606626	383.959479	6.082345349	390.995705	
492.27969	38.814989	383.95174	6.082388919	390.990669	
493.330966	39.0107	383.949545	6.082303936	390.986456	
494.383369	39.163535	383.945238	6.082250493	390.982912	
495.43366	39.318511	383.938822	6.082138875	390.977144	
496.48666	39.41865	383.938471	6.082547408	390.976524	
497.5389	39.495649	383.932025	6.08215494	390.970844	
498.590085	39.553254	383.936338	6.082227718	390.97296	
499.643453	39.593848	383.935587	6.082088804	390.969717	
500.694088	39.606038	383.924592	6.082244197	390.967397	
501.745384	39.603579	383.92774	6.082128582	390.967054	
502.796678	39.610626	383.924156	6.081875131	390.964433	
503.848033	39.604887	383.922685	6.081852773	390.962905	
504.901638	39.588732	383.922319	6.081688479	390.962899	
505.955186	39.627193	383.922448	6.08152853	390.9633	
507.003335	39.656257	383.918391	6.0812909	390.960231	
508.05443	39.738397	383.919775	6.081404254	390.960905	
509.109264	39.830959	383.91943	6.081291664	390.959896	
510.162062	39.975092	383.920022	6.081280469	390.959445	
511.215454	40.100464	383.917627	6.081335685	390.956611	
512.266091	40.282203	383.913241	6.081243576	390.952041	
513.316525	40.483542	383.906484	6.081218714	390.949146	
514.368784	40.710462	383.898847	6.081162489	390.946061	
515.419886	40.857632	383.894234	6.081083486	390.943286	
516.474275	40.975013	383.892115	6.080918809	390.939305	
517.524874	41.092655	383.8923	6.080942488	390.936764	
518.574296	41.1782	383.884241	6.081010606	390.932352	
519.625587	41.254639	383.891622	6.080849995	390.933676	
520.678076	41.343508	383.887157	6.080832853	390.931615	
521.730392	41.342618	383.887461	6.080800968	390.931823	
522.781932	41.324329	383.887164	6.080800551	390.931522	
523.832229	41.310522	383.884513	6.080782713	390.930534	
524.882429	41.320839	383.886439	6.080593521	390.928988	
525.933681	41.345984	383.879077	6.080664141	390.92733	
526.985653	41.404929	383.885404	6.080651067	390.929129	
528.037934	41.426884	383.878513	6.080635768	390.927105	
529.091206	41.524993	383.878702	6.080617096	390.926379	
